"user_id","name","address","email","password","phone","gender","isteacher","profimg"
"10","stevetwo","steve2abc","stwo@test.com","steve2one","1234567898","Male","no","female_8491891.png"
"11","stevethree","stevethree213","sthree@test.com","12345678911","1234567896","Male","yes","mos-design-7Bm7Lhets9Q-unsplash.jpg"
"19","stevethreefour","stevethree2134","steve2@abctest.com","Steve34123","2147483647","Male","yes","mos-design-7Bm7Lhets9Q-unsplash.jpg"
"8","steve","aaoneone","sone@test.com","onetwothreefour","2147483647","Male","yes","luke-miller-rW8ok6JpJZk-unsplash.jpg"
"20","Clint Barton","2161 Titus Trace, Hamillland, NV 31593","clintbarton@gamil.com","Clint1234","2147483647","Male","yes","gantavya-bhatt-vj15n7OJOpQ-unsplash.jpg"
"14","buckytwo","stevethree213bucky2","buckytwosteve2abc@test.com","buckytwo123","2147483647","Male","yes","luke-miller-rW8ok6JpJZk-unsplash.jpg"
"18","buckyeighteight","stevethree213bucky288","bucky88steve2abc@test.com","Bucky81238","2147483647","Male","yes","luke-miller-rW8ok6JpJZk-unsplash.jpg"
"13","bucky","buckystevethree213","bu123@test.com","bucky2one","2147483647","Male","yes","gantavya-bhatt-vj15n7OJOpQ-unsplash.jpg"
"7","brucetwo","abcdefghijklmnsfda1","atwo@test.com","112233445566","1234567896","Male","no","profile-user.png"
"6","bruceone","abcdefghijklmn","aone@test.com","112233445566","1234567896","Male","yes","marek-piwnicki-wtyODAX4rg8-unsplash.jpg"
"12","admin","admin1234","admin@test.com","Admin123","1111111111","Male","yes","marek-piwnicki-wtyODAX4rg8-unsplash.jpg"
"3","tonytwo","abcdefghijklmn2","abcdtwo@test.com","1234567892","1234567893","Male","no","man.png"
"4","tonythree","abcdefghijklmn3","abcdthree@test.com","1234567894","1234567894","Male","no","profile-user.png"
"2","tonyone","abcdefghijklmn1one","abcdone@test.com","12345678911","1234567892","Male","no","user.png"
"5","tonyfour","abcdefghijklmn4","abcdfour@test.com","1234567895","1234567895","Male","no","customer_2016366.png"
"1","tony","abcdefghijklmn123456","abcd1@test.com","abcdef123","2147483647","Male","no","profile.png"
